player,games,minutes,points,rebds.,assists,steals,blocks,salary,slry/pts.,slry/rbds,slry/asts,slry/stls,slry/blks
Jaylen Brown,68,61,40,149,115,34,170,4956480,123912,33264,43099,145778,29155
Arron Afflalo,89,62,8,169,222,41,267,1471382,183922,8706,6627,35887,5510
Garrett Temple,78,93,39,179,265,37,218,8000000,205128,44692,30188,216216,36697
Sam Dekker,55,27,66,137,132,32,143,1794600,27190,13099,13595,56081,12549
Kelly Oubre,75,45,60,187,180,28,180,2093040,34884,11192,11628,74751,11628
Rodney McGruder,62,43,74,130,173,33,148,1312611,17737,10097,7587,39776,8868
Danny Green,84,92,42,235,386,37,218,10000000,238095,42553,25906,270270,45871
Kyle O'Quinn,77,77,154,277,15,11,207,4087500,26542,14756,272500,371590,19746
Ben McLemore,75,75,22,135,210,38,225,5200000,236363,38518,24761,136842,23111
Bismack Biyombo,53,63,100,270,0,0,116,17000000,170000,62962,N/A,N/A,146551
Jonathon Simmons,75,75,22,135,97,29,172,6300000,286363,46666,64948,217241,36627
Domantas Sabonis,65,65,39,195,130,32,156,2550000,65384,13076,19615,79687,16346
Derrick Favors,61,73,109,262,12,30,250,12000000,110091,45801,1000000,400000,48000
JaVale McGee,50,25,65,95,0,0,135,1471382,22636,15488,N/A,N/A,10899
Kosta Koufos,61,54,103,244,0,0,183,8393000,81485,34397,N/A,N/A,45863
Caris LeVert,72,72,28,208,230,32,216,1632480,58302,7848,7097,51015,7557
Tim Frazier,76,121,38,159,152,31,190,2000000,52631,12578,13157,64516,10526
Yogi Ferrell,83,124,33,166,315,38,290,1312611,39776,7907,4167,34542,4526
Anthony Tolliver,74,66,59,214,259,39,177,3290000,55762,15373,12702,84358,18587
Mirza Teletovic,77,38,15,169,338,34,169,10500000,700000,62130,31065,308823,62130
Richard Jefferson,74,51,29,162,177,33,140,1471382,50737,9082,8312,44587,10509
Nerlens Noel,69,69,124,269,0,0,248,4187598,33770,15567,N/A,N/A,16885
Patrick Patterson,71,42,71,255,276,37,170,5192000,73126,20360,18811,140324,30541
Timothe Luwawu-Cabarrot,85,93,34,153,195,31,178,1386600,40782,9062,7110,44729,7789
Tyler Ulis,77,100,23,92,100,26,231,1312611,57070,14267,13126,50485,5682
Thabo Sefolosha,73,65,65,255,138,34,204,5250000,80769,20588,38043,154411,25735
Trey Lyles,0,0,0,0,0,2,0,2441400,N/A,N/A,N/A,1220700,N/A
Bobby Portis,0,0,0,0,0,2,0,1516320,N/A,N/A,N/A,758160,N/A
Jerami Grant,0,0,0,0,0,1,0,1524305,N/A,N/A,N/A,1524305,N/A
Devin Harris,0,0,0,0,0,2,0,4402546,N/A,N/A,N/A,2201273,N/A
Mike Muscala,0,0,0,0,0,2,0,5000000,N/A,N/A,N/A,2500000,N/A
Dante Cunningham,0,0,0,0,0,2,0,2300000,N/A,N/A,N/A,1150000,N/A
Jared Dudley,1,0,3,3,37,2,5,10000000,3333333,3333333,270270,5000000,2000000
Spencer Dinwiddie,1,0,2,1,37,2,5,1524305,762152,1524305,41197,762152,304861
Shelvin Mack,1,0,1,2,30,3,6,6000000,6000000,3000000,200000,2000000,1000000
James Ennis,0,0,0,0,0,2,0,3028410,N/A,N/A,N/A,1514205,N/A
Joe Harris,1,0,2,4,38,3,7,1524305,762152,381076,40113,508101,217757
Khris Middleton,2,0,7,7,86,5,23,14100000,2014285,2014285,163953,2820000,613043
Zaza Pachulia,1,2,3,0,0,2,4,3477600,1159200,N/A,N/A,1738800,869400
Luol Deng,0,0,0,0,0,2,0,17190000,N/A,N/A,N/A,8595000,N/A
Andrew Harrison,1,0,1,2,27,1,5,1312611,1312611,656305,48615,1312611,262522
Mindaugas Kuzminskas,0,0,0,0,0,2,0,3025035,N/A,N/A,N/A,1512517,N/A
Jason Smith,0,0,0,0,0,2,0,5225000,N/A,N/A,N/A,2612500,N/A
Dante Exum,0,0,0,0,0,5,0,4992385,N/A,N/A,N/A,998477,N/A
Tyreke Evans,0,0,0,0,0,9,0,3290000,N/A,N/A,N/A,365555,N/A
Terry Rozier,0,0,0,0,0,5,0,1988520,N/A,N/A,N/A,397704,N/A
Alex Abrines,0,0,0,0,0,5,0,5725000,N/A,N/A,N/A,1145000,N/A
Nemanja Bjelica,0,0,0,0,0,5,0,3949999,N/A,N/A,N/A,789999,N/A
Timofey Mozgov,1,3,0,0,3,6,1,15280000,N/A,N/A,5093333,2546666,15280000
Meyers Leonard,0,0,0,0,0,5,0,9904494,N/A,N/A,N/A,1980898,N/A
Tyson Chandler,3,24,0,0,9,4,5,13000000,N/A,N/A,1444444,3250000,2600000
John Henson,1,3,0,0,2,5,1,11422536,N/A,N/A,5711268,2284507,11422536
Shaun Livingston,0,0,0,0,0,4,0,7692308,N/A,N/A,N/A,1923077,N/A
Dewayne Dedmon,1,4,0,0,2,3,0,6000000,N/A,N/A,3000000,2000000,N/A
Tarik Black,2,6,0,100,4,4,2,3290000,N/A,32900,822500,822500,1645000
Joffrey Lauvergne,1,2,1,33,2,4,0,1524305,1524305,46191,762152,381076,N/A
Willie Reed,1,2,0,25,2,4,0,1471382,N/A,58855,735691,367845,N/A
Corey Brewer,0,0,0,0,0,4,0,7579366,N/A,N/A,N/A,1894841,N/A
Jerian Grant,0,0,0,0,0,4,0,1713840,N/A,N/A,N/A,428460,N/A
Aron Baynes,1,3,0,0,1,3,1,4328000,N/A,N/A,4328000,1442666,4328000
J.R. Smith,2,13,70,6,17,0,0,13760000,196571,2293333,809411,N/A,N/A
Dorian Finney-Smith,2,4,58,3,8,0,1,1312611,22631,437537,164076,N/A,1312611
Alan Williams,4,0,0,11,22,1,9,6000000,N/A,545454,272727,6000000,666666
Stanley Johnson,2,4,58,3,9,0,1,3097800,53410,1032600,344200,N/A,3097800
Lance Thomas,2,98,28,11,1,0,48,6655325,237690,605029,6655325,N/A,138652
Darrell Arthur,11,61,19,7,99,0,8,7464912,392890,1066416,75403,N/A,933114
Lucas Nogueira,3,8,3,153,1,0,133,2947305,982435,19263,2947305,N/A,22160
Kyle Anderson,4,2,104,0,0,53,188,2151704,20689,N/A,N/A,40598,11445
Paul Zipser,0,0,0,0,0,63,0,1312611,N/A,N/A,N/A,20835,N/A
Joakim Noah,0,0,0,0,0,68,0,17765000,N/A,N/A,N/A,261250,N/A
Pascal Siakam,1,25,0,0,43,84,0,1249920,N/A,N/A,29067,14880,N/A
Tyler Ennis,13,0,3,607,1223,0,2,1524305,508101,2511,1246,N/A,762152
Thon Maker,14,5,14,576,1050,0,7,2684160,191725,4660,2556,N/A,383451
Quincy Acy,1,0,54,81,0,1,2,1709538,31658,21105,N/A,1709538,854769
Shabazz Napier,0,0,0,0,0,1,0,2361360,N/A,N/A,N/A,2361360,N/A
Ron Baker,0,0,0,0,0,2,0,4328000,N/A,N/A,N/A,2164000,N/A
Salah Mejri,0,0,0,0,0,2,0,1471382,N/A,N/A,N/A,735691,N/A
Chandler Parsons,0,0,0,0,0,1,0,23112004,N/A,N/A,N/A,23112004,N/A
Tyus Jones,0,0,0,0,0,3,0,1471382,N/A,N/A,N/A,490460,N/A
Alexis Ajinca,45,3789,27,13,62,1,1363,4961798,183770,381676,80029,4961798,3640
Ed Davis,0,0,0,0,0,1,0,6352531,N/A,N/A,N/A,6352531,N/A
Justise Winslow,0,0,0,0,0,2,0,2705040,N/A,N/A,N/A,1352520,N/A
Boban Marjanovic,0,0,0,0,0,3,0,7000000,N/A,N/A,N/A,2333333,N/A
Brandan Wright,0,0,0,0,0,2,0,5955760,N/A,N/A,N/A,2977880,N/A
Omri Casspi,0,0,0,0,0,1,0,1471382,N/A,N/A,N/A,1471382,N/A
Wesley Johnson,1,0,1,2,29,2,5,5881260,5881260,2940630,202802,2940630,1176252
Troy Williams,1,2,1,34,2,4,0,1471382,1471382,43275,735691,367845,N/A
Kevon Looney,0,0,0,0,0,1,0,1471382,N/A,N/A,N/A,1471382,N/A
Dejounte Murray,0,0,0,0,0,0,0,1312611,N/A,N/A,N/A,N/A,N/A
Georgios Papagiannis,18,360,122,52,59,5,3,2301360,18863,44256,39006,460272,767120
Lance Stephenson,16,78,40,36,288,0,4,4180000,104500,116111,14513,N/A,1045000
David Nwaba,5,17,2,25,0,0,206,1312611,656305,52504,N/A,N/A,6371
Miles Plumlee,3,6,30,0,1,37,200,12500000,416666,N/A,12500000,337837,62500
Josh McRoberts,1,8,0,0,36,72,1,6021175,N/A,N/A,167254,83627,6021175
Fred VanVleet,1,18,0,0,31,83,1,1312611,N/A,N/A,42342,15814,1312611
Cole Aldrich,0,0,0,0,0,88,0,7300000,N/A,N/A,N/A,82954,N/A
DeAndre' Bembry,16,3,1,619,1028,0,6,1567200,1567200,2531,1524,N/A,261200
Raul Neto,0,0,0,0,0,0,0,1471382,N/A,N/A,N/A,N/A,N/A
Pat Connaughton,0,0,0,0,0,0,0,1471382,N/A,N/A,N/A,N/A,N/A
Okaro White,0,0,0,0,0,0,0,1312611,N/A,N/A,N/A,N/A,N/A
Bryn Forbes,0,0,0,0,0,0,0,1312611,N/A,N/A,N/A,N/A,N/A
Kyle Singler,0,0,0,0,0,0,0,4666500,N/A,N/A,N/A,N/A,N/A
Cheick Diallo,0,0,0,0,0,3,0,1312611,N/A,N/A,N/A,437537,N/A
Omer Asik,35,0,7,3,14,1,1095,10595505,1513643,3531835,756821,10595505,9676
Malik Beasley,76,45,0,144,129,34,83,1700640,N/A,11810,13183,50018,20489
Andrew Bogut,78,31,7,70,101,28,101,1471382,210197,21019,14568,52549,14568
Malachi Richardson,63,56,6,69,126,25,113,1504560,250760,21805,11940,60182,13314
Jake Layman,73,14,0,36,51,21,58,1312611,N/A,36461,25737,62505,22631
Wayne Selden,0,0,0,0,0,0,0,1312611,N/A,N/A,N/A,N/A,N/A
Bobby Brown,1,0,0,0,1,0,1,1471382,N/A,N/A,1471382,N/A,1471382
Johnny O'Bryant,0,0,0,0,0,0,0,1524305,N/A,N/A,N/A,N/A,N/A
Chris McCullough,20,120,34,32,12,2,2,1471382,43275,45980,122615,735691,735691
Nick Collison,5,9,4,3,10,0,1,1471382,367845,490460,147138,N/A,1471382
Jerryd Bayless,1,1,1,2,0,0,39,9000000,9000000,4500000,N/A,N/A,230769
Udonis Haslem,2,0,10,1,0,40,142,2328652,232865,2328652,N/A,58216,16398
Damian Jones,1,0,0,1,1,0,0,1312611,N/A,1312611,1312611,N/A,N/A
Chinanu Onuaku,2,4,100,6,11,0,1,1312611,13126,218768,119328,N/A,1312611
Marcus Georges-Hunt,0,0,0,0,0,0,0,1312611,N/A,N/A,N/A,N/A,N/A
Jarrett Jack,0,0,0,0,0,0,0,1471382,N/A,N/A,N/A,N/A,N/A
